timestamp,solar_radiation,temperature,humidity,wind_speed,pressure,DATE_TIME,energy_output
2020-05-15 00:00:00,30.8,26.59,49.63,3.65,98.22,2020-05-15 00:00:00,0.0
2020-05-15 01:00:00,164.65,28.16,45.3,3.98,98.29,2020-05-15 01:00:00,0.0
2020-05-15 02:00:00,339.58,31.71,37.53,4.04,98.34,2020-05-15 02:00:00,0.0
2020-05-15 03:00:00,541.42,35.22,30.52,4.42,98.36,2020-05-15 03:00:00,0.0
2020-05-15 04:00:00,721.38,37.15,27.11,4.2,98.35,2020-05-15 04:00:00,0.0
2020-05-15 05:00:00,855.67,38.7,24.6,4.16,98.29,2020-05-15 05:00:00,0.0
2020-05-15 06:00:00,949.95,39.98,22.59,4.45,98.22,2020-05-15 06:00:00,5.425
2020-05-15 07:00:00,938.0,40.8,21.16,5.03,98.13,2020-05-15 07:00:00,190.3714286
2020-05-15 08:00:00,862.38,41.13,20.24,5.75,98.05,2020-05-15 08:00:00,276.4625
2020-05-15 09:00:00,716.47,40.88,19.93,6.45,97.97,2020-05-15 09:00:00,803.6285714
2020-05-15 10:00:00,514.25,40.16,20.17,7.08,97.91,2020-05-15 10:00:00,977.3142857
2020-05-15 11:00:00,309.23,38.94,21.03,7.38,97.87,2020-05-15 11:00:00,1001.385714
2020-05-15 12:00:00,119.7,37.34,22.62,6.82,97.87,2020-05-15 12:00:00,775.775
2020-05-15 13:00:00,8.12,34.34,27.86,4.35,97.9,2020-05-15 13:00:00,627.9714286
2020-05-15 14:00:00,0.0,32.33,31.96,3.87,97.95,2020-05-15 14:00:00,1004.825
2020-05-15 15:00:00,0.0,31.28,33.97,3.97,98.0,2020-05-15 15:00:00,531.4125
2020-05-15 16:00:00,0.0,30.37,35.72,4.1,98.05,2020-05-15 16:00:00,477.475
2020-05-15 17:00:00,0.0,29.47,37.36,4.18,98.05,2020-05-15 17:00:00,212.2857143
2020-05-15 18:00:00,0.0,28.58,39.17,4.19,98.05,2020-05-15 18:00:00,28.35714286
2020-05-15 19:00:00,0.0,27.86,40.55,4.37,98.04,2020-05-15 19:00:00,0.0
2020-05-15 20:00:00,0.0,27.27,41.54,4.69,98.03,2020-05-15 20:00:00,0.0
2020-05-15 21:00:00,0.0,26.45,43.23,4.56,98.03,2020-05-15 21:00:00,0.0
2020-05-15 22:00:00,0.0,25.69,44.62,4.26,98.06,2020-05-15 22:00:00,0.0
2020-05-15 23:00:00,0.0,24.99,46.09,3.89,98.1,2020-05-15 23:00:00,0.0
2020-05-16 00:00:00,41.72,25.23,45.51,4.25,98.15,2020-05-15 23:00:00,0.0
2020-05-16 01:00:00,213.1,27.49,40.4,4.64,98.2,2020-05-16 02:00:00,0.0
2020-05-16 02:00:00,410.9,31.68,31.18,4.68,98.24,2020-05-16 02:00:00,0.0
2020-05-16 03:00:00,615.65,35.99,20.95,6.68,98.25,2020-05-16 03:00:00,0.0
2020-05-16 04:00:00,787.35,37.77,17.98,6.97,98.24,2020-05-16 04:00:00,0.0
2020-05-16 05:00:00,903.92,39.15,15.86,7.11,98.2,2020-05-16 05:00:00,0.0
2020-05-16 06:00:00,985.85,40.19,14.56,7.31,98.14,2020-05-16 06:00:00,5.557142857
2020-05-16 07:00:00,972.8,40.85,13.98,7.55,98.05,2020-05-16 07:00:00,154.375
2020-05-16 08:00:00,892.28,41.09,14.01,7.76,97.96,2020-05-16 08:00:00,417.8125
2020-05-16 09:00:00,751.65,40.86,14.61,7.84,97.88,2020-05-16 09:00:00,634.8875
2020-05-16 10:00:00,563.9,40.25,15.57,7.79,97.82,2020-05-16 10:00:00,743.5
2020-05-16 11:00:00,348.38,39.22,16.86,7.58,97.8,2020-05-16 11:00:00,758.7571429
2020-05-16 12:00:00,138.8,37.72,18.54,6.7,97.8,2020-05-16 12:00:00,874.0857143
2020-05-16 13:00:00,9.35,34.27,24.06,3.99,97.83,2020-05-16 13:00:00,821.9571429
2020-05-16 14:00:00,0.0,32.25,27.89,3.54,97.89,2020-05-16 14:00:00,599.8142857
2020-05-16 15:00:00,0.0,31.16,30.07,3.4,97.95,2020-05-16 15:00:00,728.0125
2020-05-16 16:00:00,0.0,30.15,32.01,3.3,97.98,2020-05-16 16:00:00,330.15
2020-05-16 17:00:00,0.0,29.17,33.82,3.24,97.97,2020-05-16 17:00:00,195.3875
2020-05-16 18:00:00,0.0,28.26,35.49,3.19,97.95,2020-05-16 18:00:00,38.05
2020-05-16 19:00:00,0.0,27.37,36.9,3.14,97.93,2020-05-16 19:00:00,0.0
2020-05-16 20:00:00,0.0,26.52,38.06,3.06,97.9,2020-05-16 20:00:00,0.0
2020-05-16 21:00:00,0.0,25.72,39.01,2.93,97.9,2020-05-16 21:00:00,0.0
2020-05-16 22:00:00,0.0,25.0,39.54,2.8,97.92,2020-05-16 22:00:00,0.0
2020-05-16 23:00:00,0.0,24.43,39.7,2.65,97.95,2020-05-16 23:00:00,0.0
2020-05-17 00:00:00,43.15,24.99,38.26,2.24,98.0,2020-05-17 00:00:00,0.0
2020-05-17 01:00:00,218.68,28.21,29.75,2.55,98.04,2020-05-17 01:00:00,0.0
2020-05-17 02:00:00,437.85,31.58,24.12,1.62,98.08,2020-05-17 02:00:00,0.0
2020-05-17 03:00:00,644.62,36.81,16.17,2.33,98.11,2020-05-17 03:00:00,0.0
2020-05-17 04:00:00,817.97,39.15,14.32,3.24,98.09,2020-05-17 04:00:00,0.0
2020-05-17 05:00:00,911.62,40.63,13.57,3.8,98.04,2020-05-17 05:00:00,0.0
2020-05-17 06:00:00,877.47,41.72,13.19,4.3,97.97,2020-05-17 06:00:00,2.1875
2020-05-17 07:00:00,869.2,42.46,13.1,4.77,97.88,2020-05-17 07:00:00,138.0
2020-05-17 08:00:00,642.5,42.74,13.37,5.22,97.78,2020-05-17 08:00:00,528.3375
2020-05-17 09:00:00,500.85,42.52,14.01,5.48,97.68,2020-05-17 09:00:00,765.8375
2020-05-17 10:00:00,374.2,41.75,15.06,5.43,97.61,2020-05-17 10:00:00,990.125
2020-05-17 11:00:00,215.43,40.38,16.74,5.08,97.58,2020-05-17 11:00:00,1185.257143
2020-05-17 12:00:00,90.25,38.77,19.15,3.75,97.6,2020-05-17 12:00:00,895.7625
2020-05-17 13:00:00,7.65,36.01,25.52,2.19,97.67,2020-05-17 13:00:00,569.6142857
2020-05-17 14:00:00,0.0,34.87,28.7,1.87,97.75,2020-05-17 14:00:00,837.6285714
2020-05-17 15:00:00,0.0,34.46,29.81,1.42,97.82,2020-05-17 15:00:00,932.8714286
2020-05-17 16:00:00,0.0,33.98,29.34,1.27,97.84,2020-05-17 16:00:00,602.15
2020-05-17 17:00:00,0.0,32.79,31.08,1.51,97.84,2020-05-17 17:00:00,200.9625
2020-05-17 18:00:00,0.0,31.25,33.15,1.92,97.84,2020-05-17 18:00:00,31.2625
2020-05-17 19:00:00,0.0,29.75,35.23,2.3,97.83,2020-05-17 19:00:00,0.0
2020-05-17 20:00:00,0.0,28.57,36.83,2.52,97.82,2020-05-17 20:00:00,0.0
2020-05-17 21:00:00,0.0,27.54,38.69,2.6,97.82,2020-05-17 21:00:00,0.0
2020-05-17 22:00:00,0.0,26.58,40.76,2.61,97.83,2020-05-17 22:00:00,0.0
2020-05-17 23:00:00,0.0,25.73,42.91,2.58,97.85,2020-05-17 23:00:00,0.0
2020-05-18 00:00:00,36.65,26.0,42.38,2.31,97.88,2020-05-18 00:00:00,0.0
2020-05-18 01:00:00,174.2,28.59,36.67,2.85,97.93,2020-05-18 01:00:00,0.0
2020-05-18 02:00:00,360.83,31.6,31.14,1.87,97.97,2020-05-18 02:00:00,0.0
2020-05-18 03:00:00,561.35,36.82,18.66,2.19,97.99,2020-05-18 03:00:00,0.0
2020-05-18 04:00:00,742.45,39.16,14.0,2.36,97.97,2020-05-18 04:00:00,0.0
2020-05-18 05:00:00,907.67,40.71,11.76,3.16,97.93,2020-05-18 05:00:00,0.0
2020-05-18 06:00:00,970.3,41.91,10.54,4.06,97.86,2020-05-18 06:00:00,7.7
2020-05-18 07:00:00,962.47,42.54,9.98,4.88,97.78,2020-05-18 07:00:00,163.8142857
2020-05-18 08:00:00,880.6,42.68,9.74,5.69,97.69,2020-05-18 08:00:00,124.9
2020-05-18 09:00:00,731.12,42.35,9.69,6.28,97.62,2020-05-18 09:00:00,179.775
2020-05-18 10:00:00,536.2,41.67,9.77,6.55,97.56,2020-05-18 10:00:00,176.3125
2020-05-18 11:00:00,319.23,40.55,10.1,6.58,97.54,2020-05-18 11:00:00,641.5125
2020-05-18 12:00:00,121.95,38.85,10.95,5.6,97.56,2020-05-18 12:00:00,829.7125
2020-05-18 13:00:00,9.15,34.65,15.24,3.62,97.6,2020-05-18 13:00:00,814.4142857
2020-05-18 14:00:00,0.0,32.59,17.3,3.67,97.65,2020-05-18 14:00:00,988.8428571
2020-05-18 15:00:00,0.0,31.33,18.9,3.59,97.71,2020-05-18 15:00:00,771.7142857
2020-05-18 16:00:00,0.0,30.05,21.03,3.41,97.75,2020-05-18 16:00:00,569.9
2020-05-18 17:00:00,0.0,28.83,23.55,3.21,97.78,2020-05-18 17:00:00,223.95
2020-05-18 18:00:00,0.0,27.75,25.87,3.01,97.77,2020-05-18 18:00:00,42.3625
2020-05-18 19:00:00,0.0,26.86,27.65,2.86,97.76,2020-05-18 19:00:00,0.0
2020-05-18 20:00:00,0.0,26.09,28.93,2.75,97.74,2020-05-18 20:00:00,0.0
2020-05-18 21:00:00,0.0,25.43,29.84,2.68,97.73,2020-05-18 21:00:00,0.0
2020-05-18 22:00:00,0.0,24.92,30.17,2.64,97.73,2020-05-18 22:00:00,0.0
2020-05-18 23:00:00,0.0,24.55,30.1,2.53,97.77,2020-05-18 23:00:00,0.0
2020-05-19 00:00:00,47.08,25.07,29.1,2.23,97.83,2020-05-19 00:00:00,0.0
2020-05-19 01:00:00,208.18,28.51,22.34,2.3,97.9,2020-05-19 01:00:00,0.0
2020-05-19 02:00:00,424.6,31.68,18.03,1.33,97.94,2020-05-19 02:00:00,0.0
2020-05-19 03:00:00,614.9,37.03,12.1,0.86,97.96,2020-05-19 03:00:00,0.0
2020-05-19 04:00:00,815.4,39.5,10.02,2.03,97.94,2020-05-19 04:00:00,0.0
2020-05-19 05:00:00,961.08,40.86,9.18,2.78,97.87,2020-05-19 05:00:00,0.0
2020-05-19 06:00:00,980.25,41.88,8.55,3.29,97.79,2020-05-19 06:00:00,0.0
2020-05-19 07:00:00,984.25,42.51,8.04,3.9,97.68,2020-05-19 07:00:00,259.0428571
2020-05-19 08:00:00,886.7,42.77,7.6,4.68,97.57,2020-05-19 08:00:00,190.2857143
2020-05-19 09:00:00,705.6,42.55,7.37,5.51,97.49,2020-05-19 09:00:00,619.0857143
2020-05-19 10:00:00,525.78,41.76,7.39,6.24,97.47,2020-05-19 10:00:00,666.7857143
2020-05-19 11:00:00,301.92,40.5,7.65,6.75,97.48,2020-05-19 11:00:00,1100.642857
2020-05-19 12:00:00,115.7,38.67,8.51,6.16,97.53,2020-05-19 11:30:00,408.825
2020-05-19 13:00:00,7.85,34.76,11.8,4.23,97.57,2020-05-19 13:00:00,991.3714286
2020-05-19 14:00:00,0.0,32.98,14.26,4.83,97.65,2020-05-19 14:00:00,919.3
2020-05-19 15:00:00,0.0,32.18,16.71,5.92,97.73,2020-05-19 15:00:00,752.7714286
2020-05-19 16:00:00,0.0,30.91,20.13,5.91,97.78,2020-05-19 16:00:00,636.425
2020-05-19 17:00:00,0.0,29.22,23.49,4.48,97.79,2020-05-19 17:00:00,266.1
2020-05-19 18:00:00,0.0,27.98,25.53,3.59,97.78,2020-05-19 18:00:00,0.0
2020-05-19 19:00:00,0.0,27.05,26.87,3.15,97.76,2020-05-19 19:00:00,0.0
2020-05-19 20:00:00,0.0,26.27,27.89,2.94,97.74,2020-05-19 20:00:00,0.0
2020-05-19 21:00:00,0.0,25.61,28.81,2.87,97.72,2020-05-19 21:00:00,0.0
2020-05-19 22:00:00,0.0,25.02,29.74,2.84,97.71,2020-05-19 22:00:00,0.0
2020-05-19 23:00:00,0.0,24.4,30.91,2.87,97.72,2020-05-19 23:00:00,0.0
2020-05-20 00:00:00,52.3,24.9,30.51,2.87,97.76,2020-05-20 00:00:00,0.0
2020-05-20 01:00:00,247.2,27.88,25.98,4.42,97.8,2020-05-20 01:00:00,0.0
2020-05-20 02:00:00,474.67,31.38,21.14,4.01,97.82,2020-05-20 02:00:00,0.0
2020-05-20 03:00:00,687.75,36.18,13.47,4.75,97.82,2020-05-20 03:00:00,0.0
2020-05-20 04:00:00,860.72,38.2,12.37,4.5,97.8,2020-05-20 04:00:00,0.0
2020-05-20 05:00:00,978.42,39.7,11.73,4.4,97.76,2020-05-20 05:00:00,0.0
2020-05-20 06:00:00,1019.7,40.84,11.25,4.39,97.69,2020-05-20 06:00:00,10.48571429
2020-05-20 07:00:00,1007.38,41.56,10.82,4.53,97.62,2020-05-20 07:00:00,153.1857143
2020-05-20 08:00:00,926.62,41.85,10.46,4.94,97.55,2020-05-20 08:00:00,530.675
2020-05-20 09:00:00,785.65,41.67,10.32,5.62,97.48,2020-05-20 09:00:00,779.15
2020-05-20 10:00:00,596.22,41.08,10.38,6.33,97.44,2020-05-20 10:00:00,1032.3
2020-05-20 11:00:00,376.52,40.04,10.72,6.85,97.44,2020-05-20 11:00:00,1164.985714
2020-05-20 12:00:00,158.3,38.49,11.4,6.63,97.47,2020-05-20 12:00:00,1267.5125
2020-05-20 13:00:00,12.02,34.71,14.36,4.24,97.5,2020-05-20 13:00:00,1182.128571
2020-05-20 14:00:00,0.0,32.25,16.39,3.97,97.57,2020-05-20 13:15:00,1220.433333
2020-05-20 17:00:00,0.0,28.26,20.06,3.58,97.7,2020-05-20 17:30:00,185.3
2020-05-20 18:00:00,0.0,27.39,21.7,3.6,97.68,2020-05-20 18:00:00,81.875
2020-05-20 19:00:00,0.0,26.66,23.85,3.74,97.65,2020-05-20 19:00:00,0.0
2020-05-20 20:00:00,0.0,26.0,26.55,4.0,97.63,2020-05-20 20:00:00,0.0
2020-05-20 21:00:00,0.0,25.19,29.71,4.0,97.63,2020-05-20 21:00:00,0.0
2020-05-20 22:00:00,0.0,24.28,32.91,3.6,97.65,2020-05-20 22:00:00,0.0
2020-05-20 23:00:00,0.0,23.42,35.86,3.22,97.68,2020-05-20 22:45:00,0.0
2020-05-21 07:00:00,868.08,43.36,6.98,8.04,97.59,2020-05-21 07:45:00,305.54
2020-05-21 08:00:00,939.5,43.76,6.67,7.81,97.5,2020-05-21 08:00:00,390.85
2020-05-21 09:00:00,796.8,43.75,6.64,7.82,97.42,2020-05-21 09:00:00,822.3
