timestamp,solar_radiation,temperature,humidity,wind_speed,pressure
2022-10-02,1.0234,14.81,75.13,11.45,101.57
2022-10-03,0.9862,12.59,77.9,10.83,102.04
2022-10-04,0.6583,13.68,91.05,11.23,101.27
2022-10-05,1.4345,15.31,92.63,6.26,101.09
2022-10-06,4.7143,16.99,79.53,3.22,101.3
2022-10-07,4.5869,17.89,81.16,4.65,101.33
2022-10-08,4.4002,12.85,68.56,5.09,101.94
2022-10-09,4.8005,13.01,66.6,5.35,101.98
2022-10-10,4.4906,14.6,72.18,4.29,102.13
2022-10-11,4.5274,15.42,78.74,3.4,102.43
2022-10-12,4.313,15.68,84.67,4.35,102.11
2022-10-13,1.2163,18.05,95.57,6.1,101.06
2022-10-14,4.2293,15.67,72.66,4.76,101.06
2022-10-15,4.4009,15.38,81.38,4.08,101.47
2022-10-16,3.3391,15.05,77.72,2.89,101.21
2022-10-17,2.1365,16.22,89.27,5.1,100.38
2022-10-18,4.0706,11.7,68.02,5.94,100.35
2022-10-19,3.228,10.34,69.22,6.43,100.96
2022-10-20,4.2187,11.66,68.53,7.3,101.46
2022-10-21,4.211,12.77,69.23,3.6,101.88
2022-10-22,4.0997,14.17,73.6,2.45,102.31
2022-10-23,1.4023,14.43,90.13,7.09,102.23
2022-10-24,1.1731,15.5,96.17,5.69,101.87
2022-10-25,1.542,17.3,97.13,3.5,101.63
2022-10-26,1.9126,17.34,93.63,3.29,100.85
2022-10-27,3.935,14.7,73.04,6.94,101.84
2022-10-28,3.0238,11.06,74.68,6.75,103.07
2022-10-29,3.8722,11.59,76.93,4.68,102.9
2022-10-30,3.6199,12.53,75.93,2.82,102.23
2022-10-31,2.3407,15.04,87.6,3.24,101.64
2022-11-01,1.4395,16.62,90.31,4.01,101.54
2022-11-02,3.5359,15.76,78.42,3.53,102.36
2022-11-03,3.5263,14.72,83.87,2.36,102.7
2022-11-04,3.1147,15.99,94.22,2.57,102.54
2022-11-05,2.4348,17.48,94.17,6.11,102.23
2022-11-06,1.3022,18.0,93.85,6.75,102.13
2022-11-07,3.2707,18.16,75.94,5.98,102.13
2022-11-08,3.4968,11.24,62.1,7.8,103.15
2022-11-09,3.2998,9.22,70.77,4.32,103.45
2022-11-10,3.2126,13.69,89.16,3.91,102.62
2022-11-11,0.6638,16.68,97.34,6.29,101.33
2022-11-12,2.3206,17.83,86.73,6.49,100.19
2022-11-13,2.1538,11.3,79.01,7.23,101.08
2022-11-14,3.3,6.46,70.69,5.53,102.51
2022-11-15,1.3481,7.05,79.49,5.33,102.68
2022-11-16,2.0976,9.55,87.45,7.44,101.13
2022-11-17,2.4979,6.05,77.24,7.96,101.36
2022-11-18,2.7799,5.5,72.46,7.52,101.88
2022-11-19,3.0154,4.0,70.01,6.47,102.08
2022-11-20,3.0564,2.85,69.25,8.97,101.99
2022-11-21,2.8699,3.27,70.96,6.44,102.78
2022-11-22,2.8486,6.73,74.22,5.17,102.49
2022-11-23,2.8085,7.82,76.17,4.93,102.24
2022-11-24,2.5193,8.33,80.09,3.85,102.54
2022-11-25,1.524,9.8,85.69,7.05,101.24
2022-11-26,2.7972,8.25,76.01,6.35,101.49
2022-11-27,0.4054,10.61,93.15,7.11,100.44
2022-11-28,1.7508,9.7,82.05,7.03,100.58
2022-11-29,1.8434,5.17,75.65,2.8,102.29
2022-11-30,0.6799,10.48,85.36,8.79,101.24
2022-12-01,2.3506,4.44,68.93,8.13,102.34
2022-12-02,2.622,4.57,72.03,3.87,103.14
2022-12-03,0.583,11.17,90.49,9.65,101.93
2022-12-04,2.6124,5.44,63.98,4.17,102.13
2022-12-05,2.3686,6.16,66.14,2.97,102.35
2022-12-06,0.4481,11.33,95.25,5.96,102.4
2022-12-07,1.1059,12.54,97.26,5.43,101.96
2022-12-08,1.3865,8.98,83.52,6.14,102.12
2022-12-09,2.6213,4.74,74.69,6.96,102.37
2022-12-10,2.1406,3.47,81.53,6.59,102.64
2022-12-11,0.6228,5.26,92.08,6.67,102.12
2022-12-12,1.3373,2.51,86.36,7.05,102.03
2022-12-13,2.5841,1.55,74.37,5.74,102.3
2022-12-14,2.4766,1.82,77.34,7.5,101.97
2022-12-15,0.3566,4.74,88.95,8.43,101.81
2022-12-16,0.8873,6.67,93.99,10.6,100.1
2022-12-17,1.6034,4.39,81.03,7.67,100.62
2022-12-18,1.5518,2.38,78.76,6.61,101.31
2022-12-19,1.7299,1.68,78.37,7.99,102.24
2022-12-20,2.4257,1.72,78.54,5.97,102.8
2022-12-21,2.3861,1.97,70.24,2.62,103.05
2022-12-22,0.6607,7.21,87.61,7.75,102.15
2022-12-23,0.7387,3.65,89.17,13.73,99.35
2022-12-24,1.6973,-8.32,95.34,10.61,100.95
2022-12-25,2.3801,-3.88,84.44,8.62,101.35
2022-12-26,2.3796,-2.43,78.88,5.83,102.21
2022-12-27,1.5482,0.62,73.24,4.91,102.46
2022-12-28,2.2428,3.82,79.2,4.75,102.53
2022-12-29,2.2848,4.42,94.88,4.85,102.5
2022-12-30,2.231,5.51,97.2,4.66,102.38
2022-12-31,0.7534,8.0,99.07,4.18,101.45
2023-01-01,2.3952,7.42,90.12,4.65,101.19
2023-01-02,1.4479,7.26,91.79,2.84,101.89
2023-01-03,0.72,9.01,98.08,5.24,101.32
2023-01-04,1.554,10.37,97.14,4.28,100.9
2023-01-05,1.1587,8.46,96.42,3.66,101.24
2023-01-06,1.146,6.28,89.52,4.33,101.47
2023-01-07,1.5053,4.41,83.45,5.86,102.02
2023-01-08,2.004,2.44,74.69,4.13,102.38
2023-01-09,2.4506,4.0,83.48,4.84,101.36
2023-01-10,1.1654,3.52,79.72,4.39,101.64
2023-01-11,1.6798,2.81,74.57,4.33,102.23
2023-01-12,0.8803,7.59,92.91,6.39,101.55
2023-01-13,1.0049,8.18,88.36,8.62,100.11
2023-01-14,1.3421,1.54,80.27,9.8,100.79
2023-01-15,2.8027,1.09,76.52,10.31,101.42
2023-01-16,2.8368,1.88,72.35,7.63,101.07
2023-01-17,0.9413,3.49,81.12,3.86,100.55
2023-01-18,2.2159,6.07,88.88,5.91,100.87
2023-01-19,0.9898,4.98,93.83,4.04,101.07
2023-01-20,1.2826,5.11,87.78,6.78,100.51
2023-01-21,1.1498,3.23,77.89,4.73,101.9
2023-01-22,0.9178,4.07,80.82,2.67,101.72
2023-01-23,0.9662,3.34,89.77,8.0,100.35
2023-01-24,2.7785,3.25,79.74,6.71,101.98
2023-01-25,0.6727,4.86,81.88,6.08,101.72
2023-01-26,1.4897,6.22,82.25,8.91,100.32
2023-01-27,2.221,3.12,77.6,5.03,101.81
2023-01-28,2.6335,5.2,82.44,5.86,102.31
2023-01-29,1.0294,6.18,94.23,5.31,102.18
2023-01-30,2.2802,6.35,90.95,3.08,101.93
2023-01-31,1.6366,3.25,80.59,5.15,102.09
2023-02-01,3.0031,0.55,74.75,4.6,102.27
2023-02-02,3.3902,1.45,65.25,4.6,101.83
2023-02-03,3.1387,-3.5,74.26,11.88,101.66
2023-02-04,3.222,-7.2,82.44,6.94,103.34
2023-02-05,2.4281,3.46,80.26,7.33,102.09
2023-02-06,2.3945,4.48,88.29,6.62,101.55
2023-02-07,2.3278,2.24,79.62,4.98,102.41
2023-02-08,3.6967,5.36,84.2,4.48,102.18
2023-02-09,0.8599,6.75,88.46,4.78,101.95
2023-02-10,3.7248,9.19,83.62,7.29,101.18
2023-02-11,3.979,4.35,67.13,5.06,102.32
2023-02-12,1.8204,4.82,78.83,3.57,101.6
2023-02-13,3.7978,6.19,79.51,6.91,100.16
2023-02-14,4.0714,6.33,73.45,5.02,101.58
2023-02-15,3.5177,8.84,87.9,6.81,101.6
2023-02-16,1.6834,10.19,92.5,3.96,101.36
2023-02-17,0.7498,8.11,89.0,8.93,100.49
2023-02-18,4.3219,1.62,70.71,6.34,102.47
2023-02-19,2.761,5.0,88.18,5.69,102.3
